#,Name,Price,1h %,24h %,7d %,Market Cap (short),Market Cap (full),Volume in $ (24h),Volume in coin (24h),Circulating Supply
1,Bitcoin (BTC),"$24,817.04",-0.34%,1.47%,12.75%,479.41B,"$479,409,274,921","$53,599,413,095","2,157,842 BTC","19,317,937 BTC"
2,Ethereum (ETH),"$1,706.28",-0.19%,1.46%,9.72%,208.75B,"$208,748,364,328","$15,950,554,165","9,345,314 ETH","122,373,866 ETH"
3,Tether (USDT),$1.00,0.06%,-0.08%,0.47%,73.74B,"$73,744,753,669","$74,521,786,204","74,215,227,371 USDT","73,398,710,308 USDT"
4,BNB (BNB),$311.80,-0.20%,1.59%,8.77%,49.23B,"$49,230,800,031","$841,511,698","2,692,841 BNB","157,892,152 BNB"
5,USD (USDC),$0.9979,-0.09%,-0.17%,-0.21%,38.38B,"$38,384,860,056","$8,003,292,160","8,020,511,617 USDC","38,426,246,453 USDC"
6,XRP (XRP),$0.3756,-0.27%,1.33%,-0.01%,19.11B,"$19,109,257,116","$1,444,126,478","3,844,564,192 XRP","50,950,912,949 XRP"
7,Cardano (ADA),$0.3458,0.06%,0.14%,6.50%,12.00B,"$12,001,067,420","$623,243,981","1,796,624,829 ADA","34,701,279,874 ADA"
8,Polygon (MATIC),$1.21,0.20%,3.04%,7.84%,10.61B,"$10,610,405,654","$989,234,778","811,909,617 MATIC","8,734,317,475 MATIC"
9,Dogecoin (DOGE),$0.07575,0.20%,4.15%,3.82%,10.02B,"$10,019,399,095","$643,524,486","8,495,701,908 DOGE","132,670,764,300 DOGE"
10,Binance (BUSD),$1.00,0.01%,-0.11%,0.01%,8.37B,"$8,372,149,172","$10,321,599,554","10,320,391,257 BUSD","8,369,923,986 BUSD"
11,Solana (SOL),$21.37,0.44%,4.65%,8.66%,8.16B,"$8,155,064,895","$1,123,369,239","52,574,125 SOL","383,094,380 SOL"
12,Polkadot (DOT),$6.34,0.03%,3.06%,10.54%,7.37B,"$7,374,238,766","$407,891,686","64,308,087 DOT","1,166,250,958 DOT"
13,Shiba (SHIB),$0.00001132,-0.24%,2.01%,4.68%,6.21B,"$6,213,573,902","$510,065,043","44,953,331,229,713 SHIB","549,063,278,876,302 SHIB"
14,Dai (DAI),$0.9984,-0.03%,-0.01%,-0.12%,6.22B,"$6,220,514,292","$472,526,899","473,319,652 DAI","6,230,633,193 DAI"
15,Litecoin (LTC),$84.97,-0.29%,4.75%,-0.12%,6.14B,"$6,137,538,683","$883,994,131","10,403,067 LTC","72,484,865 LTC"
16,TRON (TRX),$0.06719,-0.11%,0.10%,1.55%,6.13B,"$6,130,072,726","$486,105,782","7,223,120,388 TRX","91,249,434,494 TRX"
17,Avalanche (AVAX),$17.32,-0.42%,5.45%,8.64%,5.64B,"$5,639,353,072","$426,554,140","24,544,611 AVAX","325,546,964 AVAX"
18,Uniswap (UNI),$6.39,-0.25%,4.67%,-0.31%,4.87B,"$4,874,439,252","$158,085,412","24,644,330 UNI","762,209,327 UNI"
19,Cosmos (ATOM),$13.18,-1.13%,9.66%,14.02%,3.78B,"$3,775,827,512","$366,615,325","27,738,142 ATOM","286,370,297 ATOM"
20,Wrapped (WBTC),"$24,851.37",-0.12%,1.93%,12.90%,3.76B,"$3,759,841,237","$561,959,734","22,605 WBTC","151,462 WBTC"
21,Chainlink (LINK),$7.07,-0.04%,4.75%,3.42%,3.66B,"$3,656,579,310","$467,492,422","65,979,068 LINK","517,099,970 LINK"
22,UNUS (LEO),$3.36,-0.00%,-0.20%,-0.55%,3.20B,"$3,204,692,034","$1,260,217","374,537 LEO","953,954,130 LEO"
23,Toncoin (TON),$2.45,-0.14%,0.74%,8.65%,3.00B,"$2,995,402,902","$45,416,120","18,524,159 TON","1,221,401,181 TON"
24,OKB (OKB),$49.61,-0.10%,3.41%,20.07%,2.98B,"$2,975,911,264","$66,095,870","1,333,371 OKB","60,000,000 OKB"
25,Ethereum (ETC),$20.45,-0.07%,5.20%,8.59%,2.86B,"$2,861,562,530","$262,614,533","12,791,991 ETC","139,924,680 ETC"
26,Filecoin (FIL),$6.88,-0.58%,8.84%,16.22%,2.78B,"$2,780,004,651","$991,391,697","143,393,498 FIL","404,207,111 FIL"
27,Monero (XMR),$150.52,-0.74%,-1.29%,1.08%,2.75B,"$2,747,457,940","$118,925,967","788,237 XMR","18,252,580 XMR"
